User ID,name,Gender,Age,EstimatedSalary,Purchased
10000,Anthony Glover,Male,39,147012,1
10001,Steven Hill,Female,24,99556,0
10002,Kathryn Johnson,Female,28,111113,0
10003,Samantha Lewis,Female,30,78451,1
10004,Melissa Clark,Female,38,95148,1
10005,Deborah Carlson,Male,21,33903,0
10006,Shane Jordan,Male,58,117156,1
10007,Allen Ellison,Male,28,106395,1
10008,Brian Reyes,Female,33,75112,0
10009,Jennifer Rose,Female,58,146850,-1
10010,Felicia Greene,Male,52,26567,0
10011,Jessica Walsh,Male,20,137788,0
10012,Aimee Russell,Male,21,21443,0
10013,Betty Cardenas,Male,48,148019,1
10014,Rachel Harris,Male,25,88723,0
10015,Lucas Larson,Male,34,91900,1
10016,Sean Pittman,Male,27,121738,0
10017,Martin Foster,Male,26,97803,0
10018,Omar Preston,Male,39,102565,1
10019,Kimberly Lee,Male,49,22168,1
10020,Jennifer Brady,Female,33,80795,1
10021,Olivia Brown,Female,52,55169,-1
10022,Jessica Gonzales,Female,29,50638,0
10023,Donald French,Female,50,71454,0
10024,John Mason,Female,46,32989,1
10025,Scott Johnson,Male,34,133675,0
10026,Stephanie Hicks,Male,24,108901,0
10027,Breanna Thomas,Female,42,122016,1
10028,Michael Dixon,Male,55,77187,0
10029,Adam Collins,Male,27,35806,0
10030,Kevin Wagner,Male,32,117227,1
10031,John Davis,Female,34,63972,1
10032,James Sparks,Male,40,148808,-1
10033,Amy Jordan,Male,47,145677,0
10034,Nicole Faulkner,Male,22,51691,1
10035,Ashley Tate,Female,26,64240,1
10036,Jeremy Aguirre,Female,49,131339,1
10037,Maria Smith,Female,35,134020,1
10038,Ronald Woods,Male,42,15500,1
10039,Patrick Leon,Female,52,136683,1
10040,Shelley Schmitt,Male,24,46245,0
10041,Shane Thompson,Female,26,111181,1
10042,Patrick Jacobson,Male,35,85535,1
10043,Aaron Gill,Male,29,137036,0
10044,Neil Baker,Female,45,132259,1
10045,Christopher Butler,Male,57,92793,0
10046,Chelsea Odom,Male,39,59339,1
10047,Elizabeth Benton,Male,26,48974,1
10048,Zachary Cervantes,Female,22,93666,0
10049,Joe Nicholson,Female,46,52898,1
10050,Valerie Green,Female,43,124039,1
10051,Breanna Daniels,Female,54,100889,1
10052,Christine David,Male,45,81395,0
10053,Monica Ross,Female,50,115343,1
10054,Robin Nguyen,Female,37,98035,1
10055,Amanda Pierce,Female,33,14941,1
10056,Courtney Turner,Male,37,95802,1
10057,Zachary Tucker,Male,43,21047,0
10058,Donna Mccormick,Male,46,149512,1
10059,Albert Frey,Female,45,136541,1
10060,Susan Lopez,Female,28,124109,0
10061,Danielle Sanders,Male,54,142891,0
10062,William Olson,Female,40,34414,0
10063,Manuel Hoffman,Female,40,19773,1
10064,Ryan Ware,Female,45,89684,0
10065,Wanda Gomez,Female,56,138595,1
10066,Eric Patterson,Female,58,79834,1
10067,Darin Reyes,Male,25,74879,0
10068,Kevin Trujillo,Female,50,117913,0
10069,Dr. Marc Anthony,Female,45,9875,0
10070,Anthony Cruz,Female,50,41424,1
10071,Amanda Adams,Male,33,89604,1
10072,Mercedes Johnson,Male,50,93570,0
10073,Amanda Shaw,Male,26,142233,0
10074,Julie Ballard,Female,56,133870,0
10075,Jerry Barrera,Female,55,129149,1
10076,Brandi Jacobs,Male,45,61699,0
10077,Bobby Ryan,Male,44,70496,0
10078,David Perez,Female,31,10830,1
10079,Elizabeth Michael,Female,34,14585,1
10080,Brandon Munoz,Female,20,127883,0
10081,Stephen Gentry,Male,56,88402,0
10082,Brenda Stevenson,Male,47,42912,0
10083,Diane Morrison,Male,42,38620,1
10084,John Tyler,Female,49,135646,1
10085,Michael Stewart,Male,39,49355,0
10086,Shelby Roberts,Male,52,42281,1
10087,Lee Cameron,Female,36,144897,1
10088,Kristopher Andrade,Male,52,129533,1
10089,Oscar Christensen,Female,57,121661,1
10090,Joseph Keller,Male,40,143873,1
10091,Ronald Franco,Female,21,126686,0
10092,Dr. Kimberly Jones,Female,22,36712,0
10093,James Baker,Female,46,91706,1
10094,Mark Austin,Male,58,143700,1
10095,Kimberly Taylor,Male,38,24188,0
10096,Donna Benson,Male,29,109204,0
10097,Patricia Olson,Female,53,146755,1
10098,Aaron Hopkins,Male,21,40281,1
10099,George Taylor,Male,41,85749,0
10100,Emma Rubio,Male,53,146838,0
10101,John Campbell,Male,29,123588,0
10102,Robin Mendoza,Male,51,99427,0
10103,Dana Bowen,Male,27,125881,1
10104,Stacy Rhodes,Male,33,54742,1
10105,Jasmine Gibson,Male,54,65457,0
10106,Kevin Tyler,Male,45,68436,1
10107,Edward Mckinney,Female,32,36813,1
10108,William Carr,Female,41,15848,0
10109,Gina Mcmillan,Female,47,58784,0
10110,Samantha Thompson,Female,20,73963,0
10111,Adam Morris,Female,21,47629,1
10112,Nicole Cortez,Female,24,94666,0
10113,Johnny Miller,Female,37,120635,0
10114,Jason Miller,Male,57,63863,0
10115,Virginia Goodwin,Female,46,127978,0
10116,Calvin Nunez,Male,59,111260,0
10117,Anthony Clark,Male,24,97577,0
10118,Kevin Camacho,Female,29,34773,1
10119,Darlene Perry,Female,35,127063,0
10120,Jesus Jacobs,Female,26,125083,0
10121,Ashley Dickerson,Male,26,108798,0
10122,Kimberly Williams,Male,46,30258,1
10123,Laurie Green,Female,28,16463,0
10124,Tammy Glover,Male,22,46129,0
10125,Michael Hayes,Male,50,109983,0
10126,David Welch,Male,22,134392,1
10127,Corey Copeland,Female,57,80889,-1
10128,Alexander Vega,Female,33,40962,1
10129,Madeline Campbell,Female,27,32887,1
10130,Jesse Vaughn,Male,35,125136,0
10131,Bradley Gates,Male,34,45414,1
10132,Erik Costa,Female,48,38644,0
10133,Kenneth Blair,Male,21,114783,0
10134,Michael Barton DVM,Male,44,79557,1
10135,Scott Ross,Female,50,78160,0
10136,Brenda Price,Female,40,28492,0
10137,Eric Johnson,Female,27,67859,1
10138,Erin Gonzales,Male,47,129269,1
10139,Jason Perez,Female,57,60322,1
10140,Robert Caldwell,Male,36,57011,0
10141,Michelle Kelley,Female,58,109423,1
10142,Michael Rivers,Female,38,119580,0
10143,Jennifer Daniel,Female,48,52255,1
10144,Benjamin Reese,Female,52,27797,1
10145,Jennifer Johnson,Male,25,132298,1
10146,Jacqueline Myers,Female,53,93968,0
10147,Ms. Janet Pratt,Male,38,136413,0
10148,Mr. Jacob Serrano,Female,41,18251,0
10149,Catherine Mcbride,Female,55,88150,0
10150,Gary Woodard,Female,26,21930,0
10151,Michelle Walton,Female,33,38187,0
10152,Brianna Rose,Female,48,104764,1
10153,Christine Dougherty,Female,22,52476,1
10154,Edward Stanton,Female,50,73535,0
10155,David Owens,Male,22,95830,1
10156,Michelle Conner,Female,32,60779,1
10157,Amber Bowen,Female,26,88292,1
10158,Chris Chavez,Female,28,81073,1
10159,Donna Grant,Female,44,37155,1
10160,Paul Blankenship,Female,30,15877,0
10161,Paul Watson,Male,44,108953,1
10162,Jessica Wilson,Female,58,123393,0
10163,Alexandra Rollins,Male,53,27624,1
10164,Jessica Nguyen,Male,20,82699,0
10165,Jose Young,Female,48,51904,1
10166,Kristine Guzman,Male,50,101788,1
10167,Ronald Watts,Male,24,37580,1
10168,Frederick Garza,Female,20,111989,1
10169,Jessica Eaton,Male,40,109402,1
10170,Gabriel Woods,Female,46,83326,1
10171,Megan Garcia,Female,54,88759,0
10172,Donald Welch,Male,36,139267,1
10173,Colin Murillo,Female,35,75926,0
10174,Diana Hart,Male,52,9966,0
